"Root","PageCount","ExternalAssetPages","ExportContextPages","LocalAnswerPages","TextareaTotal","HasIndex","HasShell","HasAssets"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\李宏毅LLM课程","62","0","0","20","1203","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\李宏毅  机器学习\研习资料","58","0","0","8","825","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\Claude Code工作流","24","0","0","0","356","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\计算机教育中缺失的一课\研习资料","15","0","0","0","234","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\PyTorch深度学习实践 刘二大人\研习资料","13","0","0","0","221","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\LLM基础与应用工程","10","0","0","0","178","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\AI基础设施\研习资料\分布式训练系统","8","0","0","0","56","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\Agent可靠性工程","8","0","0","2","49","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\算法\研习资料\02_树堆图与结构设计","8","0","0","0","80","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\AI基础设施\研习资料\LLMServing架构与请求调度","8","0","0","0","55","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\从零训练小语言模型","8","0","0","0","68","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\Agentic后训练与工具使用RL","8","0","0","0","61","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\预训练数据工程与数据配方","8","0","0","0","88","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\后训练全栈","8","0","0","0","60","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\推理模型训练","8","0","0","0","57","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\AI基础设施\研习资料\GPU性能工程","7","0","0","0","38","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\算法\研习资料\01_数据结构与数组字符串","7","0","0","0","104","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\算法\研习资料\03_回溯动态规划与综合题","7","0","0","0","127","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\AI基础设施\研习资料\现代LLM推理引擎内核","7","0","0","2","46","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\工具调用契约与结构化交互","7","0","0","0","39","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\AgentHarnessEngineering","7","0","0","0","63","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\RAG论文精读","6","0","0","0","120","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\LoRA论文精读","6","0","0","0","87","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\提示工程学习笔记","5","0","0","0","65","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\深度学习\研习资料\Transformer论文精读","5","0","0","0","93","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\Harness Engineering","5","0","0","0","85","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\Agent基础与工程","5","0","0","0","80","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\多智能体系统","4","0","0","1","65","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\Agent\研习资料\Agent Skills","4","0","0","0","52","True","False","False"
"D:\Users\yyh\Downloads\笔记库\30_研究\大语言模型\研习资料\MCP入门","3","0","0","0","54","True","False","False"
